Последние 10 алертов									
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:15+03:00									
[ТД] Авиаагрегат									
									
status	name	firstSeen	severity	priority	id	tenantID	correlationRuleName	userName	tenantName
AA_702815	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	687eee8d-90e1-42ab-aed2-756941f8f78c				
AA_702817	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	452841a8-3ba3-45c1-b4fc-7b4651cdf295				
AA_702906	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	a9b67033-f11c-4933-b2b0-25abecc467d5				
AA_702927	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	369db1bc-da65-43df-8478-6a837b8e955d				
AA_702933	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	36279d69-f9cb-407e-9821-d78d22736756				
AA_702968	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	bcb42123-b7f2-4364-996d-6a1999dc260d				
DIR_IS_POR	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	cfc3ed3e-8fae-47eb-98d2-50ed578900a1				
DIR_PRO	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	0ed79cd5-f91f-4207-bc2c-a2889e1c0590				
NACH_AXO	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	4217bb2b-4b56-44a8-87b8-f2de5674e1e5				
NETTOP_TV_BUF	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	4a3411aa-c6d4-4667-8fed-38c883475be8				
OK_4_3	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	7b7a6a43-93e5-42b5-a47b-8adcafdd104a				
OOTIOS_209_1	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	d5e56896-2ea5-4af1-bbfd-2029145bbf60				
UIT_215_6	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	21ae9d89-6f2a-4991-ae81-43275e1b5c0b				
ceh53_master_1	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	64ec67ed-0939-4a15-b077-eb932e77fbcc				
512_PROFSOUZ	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	8f85e54f-7c1c-4e7a-ba06-2aaebb663d99				
AA_1000063	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	87edc177-9b35-4582-9196-d07884aeb632				
AA_1000064	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	0984037a-0d94-4a53-82f8-5b11face5932				
AA_1000065	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	1ba2b2a7-e226-43ca-9943-bc754849fdac				
AA_1000120	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	0f23cd13-590d-403f-a533-06717bfe068a				
AA_1000121	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	b1333460-0875-46a9-a3ae-c58b5a5879b7				
AA_1000122	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	0429e6b8-94d5-4234-b6b6-a035d7f009bf				
AA_701536	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	f82abf55-33b9-43c4-b979-1b7cf74c1603				
AA_701714	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	5e9e73f3-0a83-4e16-acf7-b46ef57d45ff				
AA_702033	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	98e46ece-e48b-427e-86e5-2de54e906615				
AA_702154	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	f6c7aec7-8d65-4767-a1f2-2ea8eafc56d6				
AA_702187	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	d97a4301-4b02-4c19-8542-3e37212407e1				
AA_702284	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	bce94450-dec8-4df6-84fd-e0319f0c1f25				
AA_702441	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	4ccdd4df-df96-4bb7-afc4-ee9846e420d4				
AA_702493	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	c0a8ee49-9bfd-42a3-8c04-c48305e1fe5d				
AA_702543	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	89b2742f-db93-4f18-bb04-43ef7d0df3bf				
AA_702591	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	9e78dbbd-ef7c-4638-a26b-d0c4737f997b				
AA_702619	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	e1c63322-8692-4f5e-bac5-14350d7c6aad				
AA_702621	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	2d82ada3-b44f-43ce-ae10-284f52112872				
AA_702699	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	a09ae7b0-c852-4839-b87b-a9222852efdd				
AA_702734	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	e3a8dda0-3d2f-4728-9636-e4aa5aae6a96				
AA_702740	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	a359fa65-f757-48d3-87ce-24ce8641611f				
AA_702744	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	1c7b33ba-11b5-4070-b1f4-f2392358f954				
AA_702808	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	a2cc0473-eb70-494c-b901-7fc2fdea428b				
AA_702812	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	af99cb43-5706-4069-b3be-bbb2f10297db				
AA_702816	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	70706141-4072-4e9c-8088-20e58fdf8961				
AA_702834	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	9f7a8f6f-a03b-400d-b37a-d026be977d01				
AA_702846	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	97952691-7392-42f4-9f86-62d14bd43fb7				
AA_702871	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	51db1d64-f6e6-4c5d-86e6-581d1f05e9d1				
AA_702877	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	62ebd6d0-5e40-4883-9dc4-cd6c6aa9aef4				
AA_702878	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	8a075224-21e3-42d3-9438-e5cca97ba97a				
AA_702894	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	4f2cac7b-54d8-41ba-954e-ae2f005548ec				
AA_702897	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	7d2d0d7d-cb13-46d1-aab3-197c4b1cbe66				
AA_702908	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	504239aa-a10d-44af-89a2-42b093a9de2c				
AA_702909	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	7f9875f2-8c4c-4b2f-89b0-964db6bc01ed				
AA_702910	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	13d74d56-0e19-4861-a785-c0cd0fa419dc				
AA_702923	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	a2b9cf9e-cfaa-446e-ae98-e6ac7a328c5c				
AA_702924	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	635ed2e6-bec4-40ad-aef5-c0a631866e0b				
AA_702932	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	99ec717e-f1bc-44a2-8b1e-8d49af4ab2f1				
AA_702934	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	32f321bf-327b-4f4b-9fe0-bed508914a75				
AA_702946	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	05aada59-2496-4b80-be10-dd44e2cef09d				
AA_702956	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	0d000e25-9224-4607-9d21-83f3d7caa713				
AA_702966	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	e907b2a7-1314-4e2c-a978-96794d3cb196				
AA_702974	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	8a8a6fdf-e2f1-4ecd-9dea-547a145ded24				
AA_702978	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	85b0be0f-f457-4a37-b725-24fd9f6b54a2				
AA_702979	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	ebb92f09-3b7f-40ef-bce3-0ed08673bf08				
AA_702992	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	074f1df4-cd34-4637-8d89-88b356fabb9d				
AA_703002	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	4cb1a78c-63d0-4eef-8dae-8099f5e54f28				
AA_703003	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	8fb8c657-faf5-42a0-8f58-89feb863fd46				
AA_703009	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	e899f445-3ab6-4c50-aa3f-b2082fc9a041				
AA_703015	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	ade2cc6b-30a6-45c3-b000-bb416913af7b				
AA_703016	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	85f22dc6-dc1c-48df-8c35-90a945749ccb				
AA_703017	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	18deca02-46c7-4251-884d-0bf2f378840a				
AA_703018	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	f6505ea6-a5ab-488e-9a8d-827403960765				
CEH58_116	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	ca6c6424-9b6f-4adf-bc0f-c1caf75d13ae				
CEH70K_1	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	b3532744-232a-4c28-b167-68dcf9b7c2d3				
CEH_2_IRK_2	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	ae693f9a-135d-4ef8-a7c7-ae2f9816ce4f				
FIN_329	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	ea7e3b01-4076-4c07-9fe7-a5b0e231b3d8				
METROLOG_100	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	ec46de9c-7089-449a-a0f8-760c0798da41				
NACHKAD_2_1	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	a600d260-06f5-4b33-8c54-8710ba9cbb2a				
NETTOP_TV_CEH7	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	5cfd27dd-f276-4f65-aa76-77779aded2b1				
NETTOP_TV_OK	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	792bb797-df60-425e-8190-33fe38b1b94e				
NETTOP_TV_TAB	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	70f84a83-1d99-4363-9ebb-d3c2cdf7e89c				
NOTE_610	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	925c0daf-a3b3-4ac0-8e63-3e82adc0df6c				
OGMEH_326_27	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	1b17cb24-74d0-458d-a954-75a5d4dbd033				
OSO_208_XP	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	695ad46c-b33f-43fa-8132-2aa163aa7560				
OVK_NOUT	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	97c6f644-47dc-4f96-80ba-155723e287bf				
POM_DIR_SNAB_67	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	15479a91-e1c4-4452-bc5b-63d87c8a27d2				
SEK_609	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	b582d33b-8ecf-4016-918a-396771070f32				
SKI_3	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	39c3f8a6-59ed-4eee-b674-1a0fd54a53ab				
SUFD_325	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	44cf3d35-616d-4896-ab07-d65b36cf5c85				
TOP_601_NETTOP	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	bb09bad7-026f-471a-9968-2fa4da90cf41				
UROTDEL_319_8	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	3af23211-b1f0-45c8-b78b-9635765a9c2b				
ZDRAVPUNKT_1	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	aa83be42-25ee-4207-aeee-a0150163947d				
aa_702847	1	1	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	c6c32a59-c63d-4168-b688-ff258f085e79				
									
Активы в инцидентах									
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:15+03:00									
[ТД] Авиаагрегат									
									
No Data									
									
Распределение алертов по правилам корреляции									
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:15+03:00									
[ТД] Авиаагрегат									
									
metric	value								
5	R110_Использование подозрительных опций в командах PowerShell								
5	R107_Использование сжатия данных								
3	R054_Удаление группы в ОС Windows подозрительным пользователем								
2	R222_Сбор информации о сетевых папках								
2	R205_Обнаружен новый DNS сервер								
1	R055_Изменение группы в ОС Windows подозрительным пользователем								
1	R077_Обнаружено вредоносное ПО								
1	R052_Учетная запись была удалена из группы подозрительным пользователем								
1	R102_Доступ к WinAPI								
1	R406_Получение учетных данных через GUI-запросы								
									
Общее количество алертов и их статусы									
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:15+03:00									
[ТД] Авиаагрегат									
									
value	metric								
Closed	16								
New	6								
									
Общее число событий, обработанных в текущем периоде									
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:15+03:00									
[ТД] Авиаагрегат									
									
metric	value								
462261695	firewall								
166809506	RegistryEvent (Object create and delete)								
124432223	PipeEvent (Pipe Connected)								
113850933	Network connection								
80189129	RegistryEvent (Value Set)								
69520985	nat								
35843575	Image loaded								
17766713	FileCreate								
16195826	Error								
9898922	Process creation								
5637270	An account was successfully logged on.								
4811582	Pipeline Execution Details								
4802754	Command Invocation								
4282544	PipeEvent (Pipe Created)								
3568700	An account was logged off.								
2207713	Special privileges assigned to new logon.								
2145918	DNSEvent (DNS query)								
1481785	Credential Manager credentials were read.								
1353534	Started invocation of ScriptBlock								
1347573	Completed invocation of ScriptBlock								
964201	A security-enabled local group membership was enumerated.								
721085	Creating Scriptblock text								
596015	Process terminated								
493993	A logon was attempted using explicit credentials.								
241850	RawAccessRead								
195031	Provider Lifecycle								
111266	FileCreateStreamHash								
61464	Auditing settings on object were changed.								
57697	Engine Lifecycle								
47734	Обновление								
44601	R031_01_Вход с разных хостов на один Windows хост под одной учетной записью								
38025	Key file operation.								
37858	Cryptographic operation.								
35171	Защита								
30284	Поиск вредоносного ПО								
25698	Windows PowerShell has started an IPC listening thread								
24720	A new process has been created.								
24143	PowerShell console is ready for user input								
24143	PowerShell console is starting up								
19732	Key migration operation.								
18398									
13782	Driver loaded								
13352	R110_Использование подозрительных опций в командах PowerShell								
13350	R110_01_Использование подозрительных опций в командах PowerShell								
12358	ddos_protection								
12179	The system time was changed.								
10683	A user's local group membership was enumerated.								
8992	CreateRemoteThread								
8312	ProcessTampering (Process image change)								
5740	Защита от файловых угроз								
5529	Vault credentials were read.								
5412	Контроль устройств								
5243	An attempt was made to query the existence of a blank password for an account.								
5182	Поиск уязвимостей и требуемых обновлений								
4369	An account failed to log on.								
3923	The event logging service has shut down								
3743	Защита от веб-угроз								
3440	Управление устройствами								
2602	Инвентаризация								
2390	Смена Сервера администрирования all								
2201	User initiated logoff								
2135	Boot Configuration Data loaded.								
2086	System audit policy was changed.								
2074	A primary token was assigned to process.								
1723	Sysmon service state changed								
1517	A process has exited.								
1350	Контроль приложений								
1127	core								
1031	Windows is starting up.								
1030	The Per-user audit policy table was created.								
1028	The Windows Firewall Driver has started successfully.								
1027	The Windows Firewall Service has started successfully.								
960	A process changed a file creation time								
586	vpn_server								
549	Other System Events								
537	R081_02_KSC. Повторное заражение ВПО								
532	An attempt was made to register a security event source.								
530	An attempt was made to unregister a security event source.								
504	The file could be improperly signed without page hashes or corrupt due to unauthorized modification.								
443	R406_Получение учетных данных через GUI-запросы								
443	R406_01_Получение учетных данных через GUI-запросы (Windows)								
372	Смена Сервера администрирования (1)								
356	A cryptographic self test was performed.								
296	R109_01_Использование известных зловредных фреймворков для эксплуатации уязвимостей								
296	R109_Использование известных зловредных фреймворков для эксплуатации уязвимостей								
295	Обработка события								
295	The domain controller attempted to validate the credentials for an account.								
191	A user account was changed.								
165	Загрузка обновлений в хранилище								
155	An attempt was made to reset an account's password.								
139	System security access was granted to an account.								
132	admin_console								
126	R222_Сбор информации о сетевых папках								
126	R222_01_Сбор информации о сетевых папках через PowerShell								
119	R221_Сбор информации о группах								
119	R221_02_Обнаружение сбора информации о локальных группах Windows с помощью PowerShell								
99	Защита от сетевых угроз								
74	A member was added to a security-enabled local group.								
68	System security access was removed from an account.								
58	A security-enabled local group was created.								
58	A security-enabled local group was changed.								
56	R055_Изменение группы в ОС Windows подозрительным пользователем								
54	R105_04_Подозрительные PowerShell команды. Подозрение на обфускацию								
54	R105_Подозрение на обфускацию кода с использованием спецсимволов								
47	R077_02_KSC. Обнаружено вредоносное ПО								
47	R077_Обнаружено вредоносное ПО								
46	Рассылка отчетов								
44	Антивирусная проверка								
41	Защита от почтовых угроз								
39	Domain Policy was changed.								
38	Другие системные события								
30	R053_Создание группы на Windows системе подозрительным пользователем								
28	The event logging service encountered an error while processing an incoming event published from %1								
24	shaper								
23	Резервное копирование данных Сервера администрирования								
22	R054_Удаление группы в ОС Windows подозрительным пользователем								
22	A security-enabled local group was deleted.								
20	R080_02_KSC. Всплеск заражений ВПО								
20	Code integrity determined that the image hash of a file is not valid								
20	R080_Всплеск заражений ВПО								
18	A user account was enabled.								
18	R291_03_Вызов внешних ресурсов для системных приложений Windows (runll32)								
18	The name of an account was changed								
17	R205_Обнаружен новый DNS сервер								
16	Анализ поведения								
15	R107_Использование сжатия данных								
15	R107_01_Использование сжатия данных в PowerShell								
15	Добавление ключа								
15	R051_Учетная запись была добавлена в группу подозрительным пользователем								
15	R220_Сбор информации об учетных записях								
14	Modifying activity Id and correlating								
14	R220_03_Сбор информации о локальных учетных записях через PowerShell								
12	This event occurs when an object is deleted from the COM+ catalog.								
10	cpa_auth_form								
8	R106_01_Подозрительные PowerShell команды. Подозрение на кодирование команд								
8	R106_Подозрительные PowerShell команды. Подозрение на кодирование команд								
6	R079_Несколько хостов заражены одним типом вируса								
6	Обслуживание базы данных								
6	R052_Учетная запись была удалена из группы подозрительным пользователем								
6	A new external device was recognized by the system.								
5	R294_Обфускация команд PowerShell								
5	Error Message								
5	R294_05_Обфускация кода PowerShell с помощью функции substring								
5	R079_02_KSC. Несколько хостов заражены одним типом вируса								
4	An object was added to the COM+ Catalog.								
4	A member was removed from a security-enabled global group.								
4	A user account was deleted.								
4	RegistryEvent (Key and Value Rename)								
4	R229_Сбор информации о службах								
4	A user account was locked out.								
4	A member was removed from a security-enabled local group.								
4	R229_02_Обнаружение сбора информации о системных сервисах с помощью PowerShell								
2	Opening RunspacePool								
2	R110_02_Кодировка исполняемого кода на PowerShell								
2	Creating RunspacePool object								
1	R102_01_Доступ к WinAPI с использованием PowerShell								
1	System Integrity								
1	R083_Обнаружены следы использования нежелательных утилит								
1	R102_Доступ к WinAPI								
1	R083_08_Обнаружение сжатого исполняемого файла								
1	Установка требуемых обновлений и закрытие уязвимостей								
1	R079_03_KSC. Несколько хостов заражены одним типом вируса (по хешу)								
1	R220_01_Сбор информации о доменных учетных записях через PowerShell								
1132390515									
Последние инциденты									
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:15+03:00									
[ТД] Авиаагрегат									
									
No Data									
